OEM,Model,Segment,Month,Year,NoOfSales,EngineCapacity,Mileage,Model Price,Dealer location,Region
Bajaj,Pulsar,Motorcycle,May,2022,6632,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,May,2022,1824,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,May,2022,6177,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,May,2022,1197,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorc Cle,May,2022,36,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,May,2022,288,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,May,2022,642,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,May,2022,0,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,May,2022,442,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,May,2022,769,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,May,2022,558,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorc,June,2021,43313,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorc,June,2021,26608,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,June,2021,452,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,Duke ,Motorcycle,June,2021,852,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,June,2021,47266,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,June,2021,23901,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,June,2021,1717,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,June,2021,4443,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorc,June,2021,1404,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorc Cle,June,2021,3540,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,June,2021,500,220,35-40,130774,Delhi,North
Bajaj,KTM Duke,Motorcycle,June,2021,536,250,30-35,228878,Delhi,North
Bajaj,HUSQVARNA,Motorcycle,June,2021,186,N/A (brand),35-40,"1,80,000 - 2,20,000",Delhi,North
Bajaj,DOMINAR,Motorcycle,June,2021,143,250,30-35,178900,Delhi,North
Bajaj,DOMINAR,Motorcycle,June,2021,347,375,25-30,"2,08,995 - 2,33,995",Delhi,North
Bajaj,KTM Duke,Motorc,June,2021,43,375,25-30,287295,Delhi,North
Bajaj,Platina,Motorcycle,May,2021,11164,100,70-75,"52,166 - 63,578",Delhi,North
Bajaj,CT ,Motorcycle,May,2021,7678,100,75-80,"45,274 - 54,138",Delhi,North
Bajaj,CHETAK,EV Scooter,May,2021,31,N/A (electric scooter),85,"1,00,000 - 1,15,000",Delhi,North
Bajaj,Duke ,Motorcycle,May,2021,271,125,45-50,150925,Delhi,North
Bajaj,Pulsar,Motorcycle,May,2021,28636,125,50-55,"75,494 - 88,869",Delhi,North
Bajaj,Pulsar,Motorcycle,May,2021,8638,150,45-50,"98,835 - 1,04,314",Delhi,North
Bajaj,Avenger,Motorcycle,May,2021,556,180,45-50,107605,Delhi,North
Bajaj,Pulsar NS,Motorcycle,May,2021,1325,180 / 200,35-40,"1,15,615 - 1,36,248",Delhi,North
Bajaj,KTM Duke,Motorcycle,May,2021,375,200,30-35,183327,Delhi,North
Bajaj,Pulsar,Motorcycle,May,2021,1026,220,30-35,128508,Delhi,North
Bajaj,Avenger,Motorcycle,May,2021,176,220,35-40,130774,Delhi,North
